"","date","region","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"187","2020-02-02","Asia",2123.19047619048,2014347.12182572,16738,20334253.2735856,5139267.04093645,50130302.3479155
"188","2020-02-02","Oceania",0.833333333333333,0,12,0,0,0
"189","2020-02-02","Americas",0.857142857142857,0,12,0,0,0
"191","2020-02-02","Europe",2.65,0,25,0,0,0
"214","2020-02-03","Asia",2839.95238095238,2060487.63986254,19827,22814007.0809318,6281497.75760239,53585699.3865771
"215","2020-02-03","Oceania",0.789473684210526,0,12,0,0,0
"216","2020-02-03","Americas",0.904761904761905,0,15,0,0,0
"218","2020-02-03","Europe",2.57142857142857,57.4803691338979,33,0,0,0
"241","2020-02-04","Asia",3137.14285714286,2093326.75497728,23836,25376940.5824639,7522491.16632847,56972012.6412518
"242","2020-02-04","Oceania",0.75,0,13,0,0,0
"243","2020-02-04","Europe",2.52380952380952,236.932141756633,34,0,0,0
"244","2020-02-04","Americas",0.857142857142857,0,15,0,0,0
"269","2020-02-05","Asia",3215.66666666667,2113126.97223121,27579,28013613.654858,8851042.25799317,60209241.7107735
"270","2020-02-05","Oceania",0.714285714285714,0,13,0,0,0
"271","2020-02-05","Europe",2.52380952380952,650.145633179823,35,0,0,0
"272","2020-02-05","Americas",0.857142857142857,0,16,0,0,0
"297","2020-02-06","Asia",3287.47619047619,2120234.05668558,30737,30705174.9887768,10259182.6209003,63377502.6109208
"298","2020-02-06","Oceania",0.523809523809524,0,14,0,0,0
"299","2020-02-06","Europe",2.52380952380952,1343.53310746588,35,0,0,0
"300","2020-02-06","Americas",0.666666666666667,0,16,0,0,0
"325","2020-02-07","Asia",3345.85714285714,2116288.28744048,34325,33425120.4236756,11742242.5251368,66450116.2014682
"326","2020-02-07","Oceania",0.476190476190476,0,15,0,0,0
"327","2020-02-07","Europe",2.52380952380952,2367.41490582098,37,0,0,0
"328","2020-02-07","Americas",0.714285714285714,0,18,0,0,0
"353","2020-02-08","Asia",3309.47619047619,2104407.18057032,37050,36128660.5481601,13299004.8964949,69347663.6143389
"354","2020-02-08","Oceania",0.476190476190476,0,15,0,0,0
"355","2020-02-08","Europe",2.33333333333333,3780.10279955278,46,0,0,0
"356","2020-02-08","Americas",0.666666666666667,0,18,0,0,0
"381","2020-02-09","Asia",3305.38095238095,2085573.77868826,40077,38758510.1790272,14887346.2765423,72030349.2509123
"382","2020-02-09","Oceania",0.428571428571429,0,15,0,0,0
"383","2020-02-09","Europe",2.28571428571429,5630.11123404406,49,0,0,961.807263749708
"384","2020-02-09","Americas",0.666666666666667,0,18,0,0,0
"409","2020-02-10","Asia",3233.61904761905,2060944.60822017,42686,41280292.8873462,16493855.6266059,74472045.8233041
"410","2020-02-10","Oceania",0.285714285714286,0,15,0,0,0
"411","2020-02-10","Europe",2.38095238095238,7969.33560061806,49,0,0,4289.82299871243
"412","2020-02-10","Americas",0.666666666666667,0,18,0,0,0
"437","2020-02-11","Asia",3182.52380952381,2032536.2528558,44724,43674182.0346526,18112424.9785787,76694264.3214789
"438","2020-02-11","Oceania",0.285714285714286,0,15,0,0,0
"439","2020-02-11","Europe",2.9047619047619,10897.2127102499,52,0,0,11422.362188348
"440","2020-02-11","Americas",0.619047619047619,0,19,0,0,0
"465","2020-02-12","Asia",3164.28571428571,2001617.41063947,45141,45925581.4541176,19723667.5596926,78714466.417909
"466","2020-02-12","Oceania",0.142857142857143,0,15,0,0,0
"467","2020-02-12","Europe",4.61904761904762,14568.3149617534,53,0,0,23940.028606412
"468","2020-02-12","Americas",0.571428571428571,0,19,0,0,0
"493","2020-02-13","Asia",2951.57142857143,1924878.24249219,60292,48019784.1961241,21309466.3853319,80547306.6890009
"494","2020-02-13","Oceania",0.142857142857143,0,15,0,0,0
"495","2020-02-13","Europe",9.19047619047619,19190.5415132084,54,1207.08775181186,0,43186.4405581162
"496","2020-02-13","Americas",0.666666666666667,0,20,0,0,0
"521","2020-02-14","Asia",2827.66666666667,1840632.78673237,66817,49949494.0344008,22857676.8376018,82389666.7357642
