"","date","region","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"1","2020-01-22","China",1079.18181818182,1631537.60515277,547,3624291.89577757,48564.311297294,25169051.4166982
"2","2020-01-22","Asia",10.8181818181818,0,7,0,0,1538481.86522396
"7","2020-01-22","United States",0.727272727272727,0,1,0,0,0
"8","2020-01-23","China",1383.91666666667,1694521.10613213,639,4749543.75901068,147718.601926906,27418329.9277181
"9","2020-01-23","Asia",10.75,0,14,0,0,1612105.05960769
"16","2020-01-23","United States",0.666666666666667,0,1,0,0,0
"18","2020-01-24","China",1514.84615384615,1754923.62161014,916,5989632.17987799,308845.433459099,29592463.5797223
"19","2020-01-24","Europe",3,0,2,0,0,0
"20","2020-01-24","Asia",10.0769230769231,0,21,0,0,1679516.48321097
"27","2020-01-24","United States",0.846153846153846,0,2,0,0,0
"29","2020-01-25","China",1691.42857142857,1812638.61303314,1399,7334246.73036979,536098.25486903,31706430.4976068
"30","2020-01-25","Europe",2.83333333333333,0,3,0,0,0
"31","2020-01-25","Asia",10.9285714285714,0,30,0,0,1742047.22977246
"40","2020-01-25","United States",0.785714285714286,0,2,0,0,0
"42","2020-01-26","Oceania",1.18181818181818,0,4,0,0,0
"43","2020-01-26","Americas",0.454545454545455,0,1,0,0,0
"44","2020-01-26","China",1827.26666666667,1867574.2436572,2062,8772635.61181123,828638.017031142,33746363.1020863
"45","2020-01-26","Europe",2.69230769230769,0,3,0,0,0
"46","2020-01-26","Asia",11.1333333333333,0,43,0,0,1801081.56590608
"55","2020-01-26","United States",0.733333333333333,0,5,0,0,0
"57","2020-01-27","Oceania",1.16666666666667,0,5,0,0,0
"58","2020-01-27","Americas",0.416666666666667,0,1,0,0,0
"59","2020-01-27","China",1909.5625,1919073.43679855,2863,10279516.9721643,1182900.09308787,35711168.2752686
"60","2020-01-27","Europe",2.5,0,4,0,0,0
"62","2020-01-27","Asia",11.3125,0,49,0,0,1857631.72793798
"73","2020-01-27","United States",0.6875,0,5,0,0,0
"75","2020-01-28","Oceania",1.15384615384615,0,5,0,0,0
"76","2020-01-28","Americas",0.538461538461538,0,2,0,0,0
"77","2020-01-28","China",2004.41176470588,1966183.55433386,5494,11813648.8416762,1589523.01778597,37594731.1130042
"78","2020-01-28","Europe",2.46666666666667,0,8,0,0,0
"80","2020-01-28","Asia",14.5294117647059,0,64,0,0,1911982.2629198
"91","2020-01-28","United States",0.647058823529412,0,5,0,0,0
"93","2020-01-29","Asia",14.9444444444444,0,73,0,0,1964819.18434067
"94","2020-01-29","Oceania",1.07142857142857,0,6,0,0,0
"95","2020-01-29","Americas",0.5,0,2,0,0,0
"96","2020-01-29","China",2043.22222222222,2007147.80823112,6070,13362747.0499205,2088768.06864497,39411312.7720578
"97","2020-01-29","Europe",2.875,0,10,0,0,0
"111","2020-01-29","United States",0.611111111111111,0,5,0,0,0
"113","2020-01-30","Asia",14.9473684210526,39.3138769277949,83,0,0,2015179.23232666
"114","2020-01-30","Oceania",1,0,9,0,0,0
"115","2020-01-30","Americas",0.466666666666667,0,2,0,0,0
"116","2020-01-30","China",2094.21052631579,2039882.27449293,8124,14914189.8226808,2681578.49731518,41166157.4003015
"117","2020-01-30","Europe",2.88235294117647,0,10,0,0,0
"121","2020-01-30","India",0.272727272727273,0,1,0,0,0
"133","2020-01-30","United States",0.578947368421053,0,5,0,0,0
"135","2020-01-31","Asia",18.85,151.906006197608,105,0,0,2063442.15050177
"136","2020-01-31","Oceania",0.9375,0,9,0,0,0
"137","2020-01-31","Americas",0.4375,0,4,0,0,0
"138","2020-01-31","China",2115.3,2063862.73836111,9783,16446362.4280814,3357904.21785274,42853209.0779524
"139","2020-01-31","Europe",2.72222222222222,0,17,0,0,0
"144","2020-01-31","India",0.25,0,1,0,0,0
"158","2020-01-31","United States",0.55,0,7,0,0,0
"160","2020-02-01","Asia",18.7619047619048,388.357717987522,119,0,0,2109939.3528332
"161","2020-02-01","Oceania",0.882352941176471,0,12,0,0,0
"162","2020-02-01","Americas",0.411764705882353,0,4,0,0,0
"163","2020-02-01","China",2110.80952380952,2079334.59631309,11871,17946913.6566805,4106843.32183718,44471163.4578498
"164","2020-02-01","Europe",2.73684210526316,0,23,0,0,0
"170","2020-02-01","India",0.230769230769231,0,1,0,0,0
"185","2020-02-01","United States",0.571428571428571,0,8,0,0,0
"187","2020-02-02","Asia",20.5714285714286,847.622823508444,129,0,0,2257215.97577959
