"","date","region","population","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"1","2020-01-22","world",7.8e+09,1094.36363636364,1631537.60515277,555,3624291.89577757,48564.311297294,26707533.2819222
"8","2020-01-23","world",7.8e+09,1398.91666666667,1694521.10613213,654,4749543.75901068,147718.601926906,29030434.9873258
"18","2020-01-24","world",7.8e+09,1529.76923076923,1754923.62161014,941,5989632.17987799,308845.433459099,31271980.0629332
"29","2020-01-25","world",7.8e+09,1707,1812638.61303314,1434,7334246.73036979,536098.25486903,33448477.7273793
"42","2020-01-26","world",7.8e+09,1842.86666666667,1867574.2436572,2118,8772635.61181123,828638.017031142,35547444.6679924
"57","2020-01-27","world",7.8e+09,1925.125,1919073.43679855,2927,10279516.9721643,1182900.09308787,37568800.0032066
"75","2020-01-28","world",7.8e+09,2023.23529411765,1966183.55433386,5578,11813648.8416762,1589523.01778597,39506713.375924
"93","2020-01-29","world",7.8e+09,2062.72222222222,2007147.80823112,6166,13362747.0499205,2088768.06864497,41376131.9563985
"113","2020-01-30","world",7.8e+09,2113.63157894737,2039921.58836985,8234,14914189.8226808,2681578.49731518,43181336.6326281
"135","2020-01-31","world",7.8e+09,2138.4,2064014.64436731,9926,16446362.4280814,3357904.21785274,44916651.2284542
"160","2020-02-01","world",7.8e+09,2133.80952380952,2079722.95403107,12038,17946913.6566805,4106843.32183718,46581102.810683
"187","2020-02-02","world",7.8e+09,2127.28571428571,2014347.12182572,16787,20334253.2735856,5139267.04093645,50130302.3479155
"214","2020-02-03","world",7.8e+09,2844.14285714286,2060545.12023168,19887,22814007.0809318,6281497.75760239,53585699.3865771
"241","2020-02-04","world",7.8e+09,3141.28571428571,2093563.68711903,23898,25376940.5824639,7522491.16632847,56972012.6412518
"269","2020-02-05","world",7.8e+09,3219.80952380952,2113777.11786438,27643,28013613.654858,8851042.25799317,60209241.7107735
"297","2020-02-06","world",7.8e+09,3291.2380952381,2121577.58979305,30802,30705174.9887768,10259182.6209003,63377502.6109208
"325","2020-02-07","world",7.8e+09,3349.61904761905,2118655.7023463,34395,33425120.4236756,11742242.5251368,66450116.2014682
"353","2020-02-08","world",7.8e+09,3313,2108187.28336987,37129,36128660.5481601,13299004.8964949,69347663.6143389
"381","2020-02-09","world",7.8e+09,3308.80952380952,2091203.8899223,40159,38758510.1790272,14887346.2765423,72031311.058176
"409","2020-02-10","world",7.8e+09,3237,2068913.94382079,42768,41280292.8873462,16493855.6266059,74476335.6463028
"437","2020-02-11","world",7.8e+09,3186.38095238095,2043433.46556605,44810,43674182.0346526,18112424.9785787,76705686.6836673
"465","2020-02-12","world",7.8e+09,3169.66666666667,2016185.72560122,45228,45925581.4541176,19723667.5596926,78738406.4465154
"493","2020-02-13","world",7.8e+09,2961.61904761905,1944068.7840054,60381,48020991.2838759,21309466.3853319,80590493.129559
"521","2020-02-14","world",7.8e+09,2840.85714285714,1865717.47229105,66908,49954469.6093777,22857676.8376018,82459886.5173064
"550","2020-02-15","world",7.8e+09,2690.47619047619,1782316.33647596,69050,51723566.2055219,24358173.0431594,84446694.1942067
"579","2020-02-16","world",7.8e+09,2558.66666666667,1694627.41287653,71234,53325764.9974653,25803897.3756365,86337937.6457377
"608","2020-02-17","world",7.8e+09,2472.95238095238,1604526.67726602,73269,54771286.7214367,27193557.8909813,88144959.6845362
