"","date","region","population","new_cases","new_pred_cases","region_cases","pred_region_cases","pred_region_cases_low","pred_region_cases_high"
"637","2020-02-18","world",7.8e+09,2367.80952380952,1513763.92770281,75151,56085581.7924435,28527619.1430664,90040449.6948206
"666","2020-02-19","world",7.8e+09,2327.71428571429,1424789.27250787,75651,57278028.7382889,29767354.8701706,91897234.7214961
"696","2020-02-20","world",7.8e+09,2296.85714285714,1342508.57570476,76211,58361382.6429173,30902699.208171,93754048.5051729
"726","2020-02-21","world",7.8e+09,2266.38095238095,1269444.45511237,76840,59358465.2049686,31932399.2990446,95676600.1444385
"758","2020-02-22","world",7.8e+09,2292.14285714286,1207989.97054361,78601,60286813.8943061,32856811.5058251,97650995.3701917
"790","2020-02-23","world",7.8e+09,2381.90476190476,1160505.06527714,78981,61159697.7376989,33689745.114228,99696158.7192654
"823","2020-02-24","world",7.8e+09,1791.14285714286,1129138.0528788,79545,61994073.9990439,34446368.8039433,101842022.990495
"861","2020-02-25","world",7.8e+09,1670.14285714286,1115169.50388492,80398,62805583.648459,35140932.4123198,104217167.545138
"904","2020-02-26","world",7.8e+09,1758.61904761905,1119314.30321896,81375,63600789.3252652,35784826.3626458,106738220.479773
"953","2020-02-27","world",7.8e+09,1842.38095238095,1143106.52100046,82734,64400235.2113632,36398304.6041987,109677067.561356
"1005","2020-02-28","world",7.8e+09,1933.57142857143,1186502.32958495,84119,65214162.9054346,36987640.1155778,112858562.123477
"1063","2020-02-29","world",7.8e+09,2081.95238095238,1250170.05459941,86011,66049235.2708254,37556868.6114078,116361127.767141
"1124","2020-03-01","world",7.8e+09,2424.33333333333,1334170.54685301,88393,66951190.2688272,38153235.306227,120753869.60578
"1190","2020-03-02","world",7.8e+09,2672.14285714286,1438910.44205101,90362,67938626.4447061,38793504.5898081,125492425.640936
"1262","2020-03-03","world",7.8e+09,3323.61904761905,1563654.66461782,92945,69041971.4160685,39484997.448954,131280045.919869
"1337","2020-03-04","world",7.8e+09,3763.2380952381,1707504.27562312,95248,70296187.8249375,40237839.4068896,137603947.473254
"1415","2020-03-05","world",7.8e+09,4277.85714285714,1869897.20917479,97995,71732890.3943307,41073823.9503432,144444023.202832
"1496","2020-03-06","world",7.8e+09,4945.47619047619,2049344.00666297,101981,73373029.190961,42007792.1934822,151917168.097036
"1585","2020-03-07","world",7.8e+09,5648,2245029.90691556,105981,75229166.57312,43051267.1173328,159655129.239522
"1675","2020-03-08","world",7.8e+09,6516.42857142857,2456026.99382112,109924,77331001.938475,44218182.5168537,167975463.70163
"1770","2020-03-09","world",7.8e+09,7731.2380952381,2680045.84459807,113874,79687835.6427208,45502802.8737385,176888799.139967
"1868","2020-03-10","world",7.8e+09,9103.7619047619,2915614.96348875,118872,82339152.939031,46911436.9501368,186539953.858008
"1969","2020-03-11","world",7.8e+09,10519.2857142857,3163515.25892094,126562,85295610.222202,48453100.1219697,196832531.336303
"2076","2020-03-12","world",7.8e+09,12019.4761904762,3420738.16039702,132326,88578501.9259884,50133287.1816497,207712796.150486
"2184","2020-03-13","world",7.8e+09,13959.7142857143,3686512.14334803,146636,92195213.1619428,51958335.8291229,218959371.621372
"2300","2020-03-14","world",7.8e+09,15789.7142857143,3957676.82121455,157629,96144403.6823916,53935126.5923966,230598169.204394
"2428","2020-03-15","world",7.8e+09,18095.3333333333,4231086.98033691,168816,100427539.130369,56067885.9407561,242644932.827714
"2560","2020-03-16","world",7.8e+09,20926.1904761905,4504116.89359343,183400,105030298.138966,58356904.0503616,254964801.838229
"2698","2020-03-17","world",7.8e+09,23814.0476190476,4774430.59364092,199006,109951211.693686,60802733.8068569,267496943.519104
"2839","2020-03-18","world",7.8e+09,26838.0952380952,5040361.1193197,218220,115177356.195509,63406712.6696262,280227174.562311
"2984","2020-03-19","world",7.8e+09,29483.5714285714,5299157.31237895,245090,120681197.947923,66158858.481202,292856068.07326
"3133","2020-03-20","world",7.8e+09,32364.7619047619,5549816.20836876,275298,126442077.138698,69063212.6770687,305549343.923997
"3289","2020-03-21","world",7.8e+09,35761.4285714286,5788734.05358313,306916,132483055.708165,72120067.487258,318317606.043505
"3447","2020-03-22","world",7.8e+09,39011.5238095238,6014142.06138698,340802,138786691.637165,75321970.1511422,330495392.328689
"3608","2020-03-23","world",7.8e+09,42597.7619047619,6222723.19925858,383516,145355381.455015,78664577.4322773,342707524.960995
"3770","2020-03-24","world",7.8e+09,45867.5238095238,6413489.56672632,424529,152153184.661574,82146639.0274277,354143320.652789
"3934","2020-03-25","world",7.8e+09,49168.3333333333,6586191.13795782,475250,159149014.412013,85762026.9987704,365309725.695073
"4100","2020-03-26","world",7.8e+09,52037.0476190476,6739885.00100832,537445,166319345.159793,89492478.6090692,376260249.661551
"4266","2020-03-27","world",7.8e+09,54796.1428571429,6874911.98404744,602076,173636071.65742,93315472.1045806,386671500.747869
"4433","2020-03-28","world",7.8e+09,57715.7619047619,6990854.07911421,669581,181076750.078834,97210306.4262754,396789666.543155
"4600","2020-03-29","world",7.8e+09,60779.380952381,7088863.49385452,729079,188613305.498433,101154323.786127,406517846.802686
"4767","2020-03-30","world",7.8e+09,63610.4761904762,7170307.30961572,793534,196233976.018465,105141617.668718,415843843.503878
"4935","2020-03-31","world",7.8e+09,66329.8571428571,7236407.45402064,869862,203902568.064277,109159231.931208,424559849.672088
"5105","2020-04-01","world",7.8e+09,68478,7284222.99159136,945804,211592593.511329,113189862.926437,432778670.784464
"5275","2020-04-02","world",7.8e+09,71473.2380952381,7314445.91025338,1026879,219255689.110419,117224739.548947,440506725.836984
"5446","2020-04-03","world",7.8e+09,72746.3333333333,7326019.86649878,1109854,226878494.063196,121255880.00365,447910842.726482
"5617","2020-04-04","world",7.8e+09,74111.1428571429,7320453.83694344,1190164,234454417.579506,125286986.55259,454985418.217536
"5788","2020-04-05","world",7.8e+09,75544.6190476191,7298614.17077476,1261594,241965124.151544,129318792.004913,461695235.149601
"5960","2020-04-06","world",7.8e+09,77176.8571428571,7261029.85285527,1334119,249403449.803962,133357841.332881,468143873.187396
"6133","2020-04-07","world",7.8e+09,78267.6190476191,7209087.885414,1411037,256759147.355084,137407793.910233,474266471.985581
"6306","2020-04-08","world",7.8e+09,78559.3333333333,7143631.97971374,1494587,264043489.566454,141478105.497074,480165144.425477
"6479","2020-04-09","world",7.8e+09,79553.8571428571,7065496.34576601,1580910,271257651.449853,145576122.646959,485865461.963359
"6652","2020-04-10","world",7.8e+09,79976.8095238095,6975834.47571399,1668225,278406633.673132,149703049.574558,491373405.679637
"6826","2020-04-11","world",7.8e+09,79914.2857142857,6875203.75199918,1744954,285451738.531584,153859637.744683,496593259.144383
"7000","2020-04-12","world",7.8e+09,80068.6190476191,6765495.60183024,1841740,292390055.752486,158050736.550922,501636978.172027
"7174","2020-04-13","world",7.8e+09,80322.0476190476,6650265.77491111,1911189,299201798.651489,162277517.378913,506426751.424379
"7348","2020-04-14","world",7.8e+09,80985.8571428571,6530119.81958076,1980863,305882715.237386,166538390.655706,511059708.158585
"7522","2020-04-15","world",7.8e+09,81052.1428571429,6405564.50953968,2061687,312419911.998282,170821042.992959,515535678.316694
"7696","2020-04-16","world",7.8e+09,81025.4761904762,6278050.42806782,2158159,318800972.069753,175123389.392092,519819225.364607
"7870","2020-04-17","world",7.8e+09,80766.2380952381,6148437.03812705,2245696,325026917.251114,179450832.458356,523961830.288491
"8044","2020-04-18","world",7.8e+09,80626.1428571429,6017157.1535285,2319327,331093021.652822,183808350.709332,527983452.287187
"8218","2020-04-19","world",7.8e+09,80334.0952380952,5883775.83045475,2399710,336988728.759519,188200759.755471,531893805.089344
"8392","2020-04-20","world",7.8e+09,80155.8571428571,5748485.9324389,2473047,342726500.008458,192636305.879692,535730876.194968
"8566","2020-04-21","world",7.8e+09,80144.0952380952,5611390.57319585,2548062,348281846.85626,197113996.669574,539361820.374907
"8740","2020-04-22","world",7.8e+09,80312.1428571429,5474593.60268596,2627245,353668001.149764,201640362.731395,542897161.106909
"8914","2020-04-23","world",7.8e+09,79373.5238095238,5338510.07832018,2713642,358911270.383552,206218423.146169,546354300.89774
"9088","2020-04-24","world",7.8e+09,79669.0952380952,5204364.27719983,2810557,364011010.274391,210844534.079581,549735364.280999
"9262","2020-04-25","world",7.8e+09,80163.0476190476,5072794.68470721,2892259,368971272.279839,215505104.151796,553044828.886313
"9436","2020-04-26","world",7.8e+09,80599.2380952381,4944756.31668898,2963129,373804183.140969,220190955.572146,556291184.329312
"9610","2020-04-27","world",7.8e+09,80318.3809523809,4820976.16360264,3030210,378520627.604631,224885809.274628,559479662.182029
"9784","2020-04-28","world",7.8e+09,80579.3333333333,4701520.80828823,3104186,383119447.579183,229574873.662383,562611261.990716
"9958","2020-04-29","world",7.8e+09,81132.6666666667,4587001.90191051,3181603,387602782.006003,234242593.423796,565687748.38531
"10132","2020-04-30","world",7.8e+09,80903,4477952.17145369,3264183,391975856.03107,238869054.096012,568711213.286727
"10308","2020-05-01","world",7.8e+09,81046.7619047619,4372915.5762582,3351251,396245835.710245,243443712.257238,571685190.950025
"10484","2020-05-02","world",7.8e+09,81413.1904761905,4273875.36421973,3431509,400418204.187989,247956499.02196,574613106.696571
"10660","2020-05-03","world",7.8e+09,81683.9523809524,4180185.72984586,3508584,404498767.397209,252397949.870327,577506225.57944
"10836","2020-05-04","world",7.8e+09,82173.6190476191,4090392.57563148,3584240,408493448.472686,256761421.883078,580360991.594206
"11012","2020-05-05","world",7.8e+09,82100.9047619048,4004684.12119085,3664287,412411403.616238,261043278.578662,583183283.253279
"11188","2020-05-06","world",7.8e+09,82724.9047619048,3922824.76108928,3754271,416259794.648751,265251972.187201,585978036.858336
"11364","2020-05-07","world",7.8e+09,83072.4285714286,3844149.33544993,3844845,420041471.505409,269385862.389909,588746090.383442
"11540","2020-05-08","world",7.8e+09,84081,3768240.35620603,3937862,423758854.225167,273446513.719157,591491251.257057
"11716","2020-05-09","world",7.8e+09,85162.0476190476,3695290.13443692,4023113,427420061.592943,277434908.079097,594217674.424533
"11892","2020-05-10","world",7.8e+09,86374.7142857143,3625168.37458941,4098673,431025724.360047,281350562.934586,596923672.907987
"12068","2020-05-11","world",7.8e+09,87501.8095238095,3557869.57845732,4175029,434557727.109881,285189197.915734,599570463.523643
"12244","2020-05-12","world",7.8e+09,88433.3333333333,3493216.27116777,4257739,438033229.504874,288955029.656315,602196018.150133
"12420","2020-05-13","world",7.8e+09,89618.6190476191,3431007.24118762,4342608,441451901.476527,292647653.758791,604799573.989844
"12597","2020-05-14","world",7.8e+09,90473.9047619048,3370930.2588711,4439288,444809514.471813,296263307.586875,607377960.403575
"12774","2020-05-15","world",7.8e+09,91021.9047619048,3312695.47224441,4534676,448109376.819399,299805022.125498,609932508.531439
"12951","2020-05-16","world",7.8e+09,91609.6666666667,3255731.10320533,4629482,451350592.262714,303272375.161865,612461935.000482
"13128","2020-05-17","world",7.8e+09,92204.5714285714,3199714.22423113,4707650,454531319.185417,306665032.519848,614963485.593493
"13305","2020-05-18","world",7.8e+09,93565.6666666667,3144474.61169191,4795911,457653675.084957,309988890.995623,617438380.556273
"13482","2020-05-19","world",7.8e+09,94900.6190476191,3089834.43773653,4892589,460720540.402358,313248943.376355,619886931.887567
"13659","2020-05-20","world",7.8e+09,97386.9047619048,3035272.59329641,4995472,463731317.872381,316448307.973146,622308228.367669
"13836","2020-05-21","world",7.8e+09,98897.6190476191,2980756.44220929,5101721,466691117.178673,319594816.424881,624706506.31436
"14013","2020-05-22","world",7.8e+09,99790.9047619048,2926872.37804725,5208351,469603377.404768,322692503.538309,627084190.91677
"14190","2020-05-23","world",7.8e+09,101635.476190476,2872746.56785265,5313500,472469356.252929,325743330.722781,629442355.080693
"14367","2020-05-24","world",7.8e+09,103194.904761905,2818336.98964361,5408536,475288302.833502,328747561.153594,631773196.685222
"14544","2020-05-25","world",7.8e+09,104596.238095238,2763922.75324502,5495700,478060053.389818,331706590.435522,634083100.958383
"14721","2020-05-26","world",7.8e+09,106283.238095238,2709347.29273818,5588090,480781756.78355,334616657.052744,636368393.172576
"14898","2020-05-27","world",7.8e+09,108221.619047619,2654674.85493189,5690567,483453793.357605,337477042.126102,638627601.543423
"15075","2020-05-28","world",7.8e+09,109819.476190476,2600106.15352137,5809724,486075438.350939,340286793.635426,640859244.660691
"15252","2020-05-29","world",7.8e+09,110479.095238095,2545587.895632,5930775,488645377.417634,343045083.827201,643059456.341634
"15429","2020-05-30","world",7.8e+09,111790.476190476,2491090.42546132,6068238,491160786.052168,345750807.56734,645225414.800983
"15606","2020-05-31","world",7.8e+09,113284.523809524,2436750.58039291,6175523,493621609.646442,348402816.345892,647355863.638804
"15783","2020-06-01","world",7.8e+09,114783.714285714,2382460.93903172,6270638,496022047.048873,350998311.739964,649438510.087841
"15960","2020-06-02","world",7.8e+09,115837.142857143,2328393.34319576,6392084,498360907.429779,353534791.267799,651471587.926762
"16137","2020-06-03","world",7.8e+09,117283.571428571,2274630.31142281,6509701,500636978.259043,356009207.615513,653453550.858411
"16314","2020-06-04","world",7.8e+09,119088.80952381,2221351.53915326,6635809,502851892.289958,358420682.467113,655385641.755342
"16491","2020-06-05","world",7.8e+09,120619.19047619,2168632.15886145,6766624,505005669.966901,360767546.674222,657267854.649335
"16668","2020-06-06","world",7.8e+09,122955.238095238,2116803.90005057,6902136,507098764.216284,363049917.052908,659099985.550347
"16845","2020-06-07","world",7.8e+09,124819.761904762,2065972.1085499,7013859,509133548.409366,365269501.839558,660884260.870632
"17022","2020-06-08","world",7.8e+09,125788.761904762,2016267.5536919,7115972,511111020.893229,367426330.393772,662621729.066569
"17199","2020-06-09","world",7.8e+09,128580.952380952,1967838.19372786,7240189,513033439.337046,369520630.280462,664314967.82341
"17376","2020-06-10","world",7.8e+09,129513.285714286,1920885.69021684,7374447,514903080.060632,371552589.895358,665965532.979651
"17553","2020-06-11","world",7.8e+09,130506,1875492.35682837,7512179,516722796.89834,373524296.845943,667576209.571257
"17730","2020-06-12","world",7.8e+09,132525.428571429,1832298.03168594,7640931,518499637.611879,375437044.342355,669159243.194461
"17907","2020-06-13","world",7.8e+09,134565.333333333,1791462.08756382,7776455,520236592.792808,377294096.869509,670715804.333738
"18084","2020-06-14","world",7.8e+09,137105.904761905,1753125.27909017,7909401,521936685.155721,379100265.936887,672247500.970492
"18261","2020-06-15","world",7.8e+09,139545,1717243.39200102,8028703,523601328.725909,380858191.236701,673754827.206366
"18438","2020-06-16","world",7.8e+09,142372,1683904.45428279,8170150,525234638.684612,382572540.253835,675241487.819857
"18615","2020-06-17","world",7.8e+09,144407.285714286,1653069.89740737,8311782,526839207.637153,384245077.998915,676711466.343114
"18792","2020-06-18","world",7.8e+09,146821.095238095,1624644.45878531,8451288,528417056.978469,385877811.87263,678167436.129165
"18969","2020-06-19","world",7.8e+09,149316.047619048,1598583.56809163,8630975,529969979.485919,387472366.454625,679611141.914708
"19146","2020-06-20","world",7.8e+09,151633.333333333,1574812.27550143,8788017,531499385.546721,389030351.881622,681043772.017063
"19323","2020-06-21","world",7.8e+09,155531.047619048,1553245.49924931,8916149,533006949.139837,390553454.25711,682467126.307208
"19500","2020-06-22","world",7.8e+09,158810.904761905,1533730.04401112,9053672,534500305.714278,392045493.297349,683893454.929631
"19677","2020-06-23","world",7.8e+09,162333.666666667,1515583.98552847,9217956,535981611.26862,393510166.136071,685324657.076551
"19854","2020-06-24","world",7.8e+09,165079.619047619,1498618.73901792,9388925,537452609.119936,394949452.823033,686763029.396806
"20031","2020-06-25","world",7.8e+09,167407.333333333,1482705.69124,9566254,538914003.52198,396364656.278394,688208867.601186
"20208","2020-06-26","world",7.8e+09,169579.142857143,1467878.19730313,9756436,540367663.50684,397757580.548549,689663975.827969
"20385","2020-06-27","world",7.8e+09,172838.714285714,1453906.04962614,9934689,541813232.061838,399128714.149983,691127124.308649
"20562","2020-06-28","world",7.8e+09,176138.333333333,1440684.18867127,10097102,543251082.043857,400479942.315203,692597264.975541
"20739","2020-06-29","world",7.8e+09,180298.857142857,1428153.387124,10251609,544681275.823153,401811971.099349,694073472.483257
"20916","2020-06-30","world",7.8e+09,182751.476190476,1416267.83661482,10424489,546104497.122576,403125937.803322,695555864.8699
"21093","2020-07-01","world",7.8e+09,185532.761904762,1405000.1518678,10640599,547521235.544868,404422952.742546,697044515.790209
"21270","2020-07-02","world",7.8e+09,188571.80952381,1394311.28646417,10847208,548931127.822573,405703920.715932,698537674.613769
"21447","2020-07-03","world",7.8e+09,191103.571428571,1383904.86195956,11049938,550326901.307977,406967312.650597,700022710.473949
"21624","2020-07-04","world",7.8e+09,193807.142857143,1373689.6252733,11243127,551707586.312184,408212697.17455,701498464.377451
"21801","2020-07-05","world",7.8e+09,196611.80952381,1363626.93077565,11424955,553073504.671761,409440243.881962,702964431.642677
"21978","2020-07-06","world",7.8e+09,200142.571428571,1353689.56370326,11589865,554426770.869274,410651271.488879,704422492.847828
"22155","2020-07-07","world",7.8e+09,202554.142857143,1343710.92340753,11799763,555766665.726761,411846219.943354,705870614.832671
"22332","2020-07-08","world",7.8e+09,205348.476190476,1333806.49507276,12010687,557093575.599249,413026360.937292,707308182.865323
"22509","2020-07-09","world",7.8e+09,207799.380952381,1323925.26699846,12237564,558408278.108073,414192118.475235,708735919.47754
"22686","2020-07-10","world",7.8e+09,210196.238095238,1314068.91647576,12468756,559711604.054831,415344390.97029,710154750.213303
"22863","2020-07-11","world",7.8e+09,213048.047619048,1304182.14622371,12684205,561004388.735945,416483836.811216,711565331.121733
"23040","2020-07-12","world",7.8e+09,216066.952380952,1294198.37987903,12876157,562287486.155585,417610873.923121,712968787.472416
"23217","2020-07-13","world",7.8e+09,219630.285714286,1284096.15878648,13066847,563562307.815428,418725804.567403,714367353.296024
"23394","2020-07-14","world",7.8e+09,223296.428571429,1274152.41054831,13287906,564829093.399359,419828053.99745,715760735.136292
"23571","2020-07-15","world",7.8e+09,226216.571428571,1264392.7815393,13517773,566088774.666225,420917382.052579,717149382.475403
"23748","2020-07-16","world",7.8e+09,227667.761904762,1254757.91603801,13769248,567341484.359748,421993104.752741,718533096.351861
"23925","2020-07-17","world",7.8e+09,230518.095238095,1245034.40488725,14010073,568585592.898398,423054156.258765,719909890.676643
"24102","2020-07-18","world",7.8e+09,232487.619047619,1235243.94801828,14247007,569823168.458366,424101068.386056,721282880.557235
"24279","2020-07-19","world",7.8e+09,236154.952380952,1225305.01919871,14460889,571053512.650825,425132592.361002,722651320.375588
"24456","2020-07-20","world",7.8e+09,238640.952380952,1215157.75035097,14665730,572276723.069144,426148748.097603,724015062.240386
"24633","2020-07-21","world",7.8e+09,241387.571428571,1204683.52176609,14898498,573492322.193274,427149358.031953,725372925.328987
"24810","2020-07-22","world",7.8e+09,243020.095238095,1193772.72157263,15178005,574699401.522327,428133926.864669,726723921.658677
"24987","2020-07-23","world",7.8e+09,244711.142857143,1182371.30777937,15459444,575897147.157089,429101842.156224,728067157.153494
"25164","2020-07-24","world",7.8e+09,245197.571428571,1170345.83361712,15739163,577084101.929491,430052348.229747,729400855.008324
"25341","2020-07-25","world",7.8e+09,246918.523809524,1157670.27785544,15993675,578259834.72451,430985680.874252,730723707.312209
"25518","2020-07-26","world",7.8e+09,248826.476190476,1144231.07098137,16205978,579423420.908559,431901851.902559,732035059.971703
"25695","2020-07-27","world",7.8e+09,250330.047619048,1129984.12960462,16430745,580572493.371907,432800189.137321,733332331.770083
"25872","2020-07-28","world",7.8e+09,252154.238095238,1115069.78875683,16682003,581706788.635145,433680779.736417,734615892.970864
"26049","2020-07-29","world",7.8e+09,253185.095238095,1099359.64727937,16969941,582824981.002422,434543481.042505,735883841.6517
"26226","2020-07-30","world",7.8e+09,253614.095238095,1082931.61279661,17249024,583926590.865443,435388549.448748,737135238.049275
"26403","2020-07-31","world",7.8e+09,254585.571428571,1065782.36577526,17537895,585009958.011918,436215158.850087,738367879.105303
"26580","2020-08-01","world",7.8e+09,255553.904761905,1047984.45764325,17787627,586073615.88897,437022965.608186,739579824.512881
"26757","2020-08-02","world",7.8e+09,255346.619047619,1029628.80042466,18015091,587117283.618952,437812590.458783,740770331.366947
"26934","2020-08-03","world",7.8e+09,255454.619047619,1010767.25654626,18215996,588139570.321388,438583840.074518,741937320.175907
"27111","2020-08-04","world",7.8e+09,256521.095238095,991526.177332634,18473195,589140169.234323,439336960.152382,743080111.385689
"27288","2020-08-05","world",7.8e+09,256132.19047619,971989.778124395,18743129,590117627.156834,440071844.621343,744197640.715121
"27465","2020-08-06","world",7.8e+09,256065.666666667,952333.968558368,19026179,591071151.081445,440788518.260326,745288760.904514
"27642","2020-08-07","world",7.8e+09,255227.19047619,932744.495738773,19305312,592002058.462291,441487819.719789,746353667.414833
"27819","2020-08-08","world",7.8e+09,255374.761904762,913275.615579094,19563894,592909721.051233,442170040.941338,747391497.089858
"27996","2020-08-09","world",7.8e+09,254606.857142857,894020.488544867,19786785,593795076.519554,442837222.574347,748404063.111718
"28173","2020-08-10","world",7.8e+09,253969.714285714,874990.685351088,20012027,594658152.750425,443489948.748588,749391251.40801
"28350","2020-08-11","world",7.8e+09,252981.428571429,856321.033394762,20265130,595499995.803782,444129299.891158,750354577.170462
"28527","2020-08-12","world",7.8e+09,253677.761904762,838109.55276286,20540284,596321606.331245,444755868.806479,751295331.220295
"28704","2020-08-13","world",7.8e+09,252575.476190476,820411.555160999,20823991,597123259.544561,445369854.27009,752214064.995248
"28881","2020-08-14","world",7.8e+09,253714.619047619,803393.379667027,21126106,597906151.653476,445972560.524307,753112026.142422
"29058","2020-08-15","world",7.8e+09,252884.571428571,787111.997325574,21372451,598671620.065122,446565073.901487,753991152.57715
"29235","2020-08-16","world",7.8e+09,253642.857142857,771646.185176163,21583357,599422434.248285,447149196.651967,754854157.207633
"29412","2020-08-17","world",7.8e+09,253370.952380952,757031.094448453,21790516,600160127.782421,447725803.42355,755702791.40437
"29589","2020-08-18","world",7.8e+09,253441.761904762,743185.672693508,22044873,600885576.562306,448295317.62785,756537791.49873
"29766","2020-08-19","world",7.8e+09,253523.761904762,730165.544328701,22316685,601599411.261865,448858217.234228,757359672.805558
"29943","2020-08-20","world",7.8e+09,253595.666666667,717958.842896564,22582388,602301395.257816,449414551.612425,758167955.113734
"30120","2020-08-21","world",7.8e+09,255252.619047619,706611.27039323,22850505,602992699.713208,449965558.991148,758964153.151942
"30297","2020-08-22","world",7.8e+09,255717.904761905,695424.114111719,23114860,603673916.49699,450511670.426961,759749052.984743
"30474","2020-08-23","world",7.8e+09,255919.666666667,684358.532412705,23319176,604345926.277333,451053627.146777,760523348.164526
"30651","2020-08-24","world",7.8e+09,255327,673425.232635663,23544003,605010831.294395,451592604.930422,761288605.843415
"30828","2020-08-25","world",7.8e+09,255743.857142857,662532.437294966,23783771,605669521.17816,452128806.685749,762045928.339499
"31005","2020-08-26","world",7.8e+09,256479.285714286,651635.003557773,24069629,606322197.045533,452662493.409442,762795489.674172
"31182","2020-08-27","world",7.8e+09,256934.80952381,629894.405806445,24346969,606968804.064863,453193759.385609,763537728.19878
"31359","2020-08-28","world",7.8e+09,258476.19047619,608645.722729462,24627589,607608957.588855,453722854.971923,764273042.216841
"31536","2020-08-29","world",7.8e+09,257331.333333333,587874.202970386,24887893,608243197.482136,454250058.608444,765001715.22801
"31713","2020-08-30","world",7.8e+09,258058,567544.653561995,25112294,608872212.220381,454774616.675687,765724344.654624
"31890","2020-08-31","world",7.8e+09,259469.476190476,547653.000196599,25372332,609496989.428683,455297062.778972,766442112.40665
"32067","2020-09-01","world",7.8e+09,261774.047619048,528086.983320844,25635206,610103902.200128,455806002.050612,767139397.390196
"32244","2020-09-02","world",7.8e+09,262193.80952381,508840.701576273,25914597,610693135.511912,456301645.976247,767816048.125566
"32421","2020-09-03","world",7.8e+09,263562.428571429,489872.977050736,26185858,611265189.42991,456784034.658051,768472762.581921
"32598","2020-09-04","world",7.8e+09,266037.476190476,471027.373261991,26496727,611819332.836671,457252043.275998,769108949.364959
"32775","2020-09-05","world",7.8e+09,267993.619047619,452238.997719793,26758516,612355955.139835,457705761.510391,769725235.118942
"32952","2020-09-06","world",7.8e+09,267100.4,442217.154237151,26978988,612650216.77022,457955779.189278,770063783.915702
"33129","2020-09-07","world",7.8e+09,266561.473684211,431459.792916474,27218516,612941687.95974,458204301.043393,770398921.395586
