"","iso3c","country","region","date","geo_level","sample.size","sero_ir","case_ir","death_r","log_gdp_ppp","population"
"1","GRC","Greece","Greece",2020-03-02,1,2075,0.0027,6.71588063999656e-07,0,-10.4793275081715,10423056
"2","SWE","Sweden","Sweden",2020-03-05,1,400,0,8.61448401716164e-06,0,-9.85551565109967,10099270
"3","ISL","Iceland","Iceland",2020-03-10,1,13080,0.008,0.000202197802197802,0,-9.81077815443186,341250
"4","GBR","United Kingdom","London",2020-03-12,2,1000,0.015,6.9e-05,1.32575191787692e-07,-10.0351529090652,8956521.73913043
"5","SWE","Sweden","Sweden",2020-03-12,1,400,0,7.63421514624324e-05,1.98034115337049e-07,-9.85551565109967,10099270
"6","USA","United States","New York City Metro Area",2020-03-13,3,2482,0.0693,2.07595558704648e-05,0,-9.6997539903221,9923141
"7","USA","United States","Western Washington Region",2020-03-13,3,3264,0.0113,0.000119048409658368,8.85484038781249e-06,-9.6997539903221,4065573
"8","BEL","Belgium","Belgium",2020-03-19,1,3910,0.029,0.00015488002363495,1.81196685032533e-06,-9.98032801023463,11589616
"9","GBR","United Kingdom","Midlands",2020-03-19,2,1000,0.015,9.58371330856357e-05,2.38635345217845e-06,-10.0351529090652,NA
"10","USA","United States","Louisiana",2020-03-21,2,1184,0.0575,0.000124371148380999,3.43092823119996e-06,-9.6997539903221,4663461
"11","NLD","Netherlands","Netherlands",2020-03-25,1,4000,0.035,0.000374207617412747,2.07763430753178e-05,-9.81510591504641,17134873
"12","USA","United States","South Florida",2020-03-25,3,1742,0.0185,0.000169540680776273,9.71579832528784e-07,-9.6997539903221,6175509
"13","CHE","Switzerland","Canton of Geneva",2020-03-26,2,341,0.048,0.00411828301433491,5.00520541363018e-05,-9.68978293017639,499480
"14","NLD","Netherlands","Netherlands",2020-03-26,1,2096,0.036,0.000433676981440131,2.53284631873256e-05,-9.81510591504641,17134873
"15","GBR","United Kingdom","London",2020-03-29,2,1000,0.123,0.000933,2.46884468262412e-05,-10.0351529090652,8958199.35691318
"16","USA","United States","Los Angeles",2020-03-29,3,863,0.0465,0.000211365402689684,3.66129208778947e-06,-9.6997539903221,10105722
"17","CHE","Switzerland","Canton of Geneva",2020-04-02,2,469,0.085,0.00689717305998238,0.000170176984063426,-9.68978293017639,499480
"18","GBR","United Kingdom","North East",2020-04-02,2,1000,0.042,0.000639,5.57110417045611e-05,-10.0351529090652,2669796.5571205
"19","GRC","Greece","Greece",2020-04-02,1,4511,0.0049,0.000148133138687924,5.0848810559974e-06,-10.4793275081715,10423056
"20","USA","United States","Philadelphia Metro Area",2020-04-05,3,824,0.0319,0.0012893959592226,1.90763321997616e-05,-9.6997539903221,4875151
"21","DNK","Denmark","Denmark",2020-04-06,1,20640,0.019,0.000808155377150974,3.2284780074179e-05,-9.86617292561785,5792203
"22","GBR","United Kingdom","North West",2020-04-06,2,1000,0.064,0.001092,9.4864915012526e-05,-10.0351529090652,7341575.09157509
"23","DEU","Germany","Hesse",2020-04-07,2,910,0.0066,0.000818888670241943,3.54303809771412e-05,-3.18085650530175,6265809
"24","DEU","Germany","Lower Saxony",2020-04-07,2,576,0.0122,0.000855251421619032,4.05890523809237e-05,-3.41099569627139,7982448
"25","DEU","Germany","North Rhine-Westphalia",2020-04-07,2,1700,0.0091,0.00123088326427587,5.2418351307902e-05,-3.35206102155317,17932651
"26","USA","United States","South Florida",2020-04-08,3,1280,0.0285,0.00148246889446684,2.91473949758635e-05,-9.6997539903221,6175509
"27","BEL","Belgium","Belgium",2020-04-09,1,3397,0.06,0.00215563656293703,0.000217694874446228,-9.98032801023463,11589616
"28","CHE","Switzerland","Canton of Geneva",2020-04-09,2,577,0.109,0.00879114278850004,0.000318331064306879,-9.68978293017639,499480
"29","GBR","United Kingdom","South West",2020-04-09,2,1000,0.049,0.000557,0.000142754020401613,-10.0351529090652,5622980.2513465
"30","SWE","Sweden","Sweden",2020-04-09,1,1200,0.052,0.000950464736560167,0.000114364701607146,-9.85551565109967,10099270
"31","SWE","Sweden","Sweden",2020-04-09,1,400,0.007,0.000950464736560167,0.000114364701607146,-9.85551565109967,10099270
"32","USA","United States","Missouri",2020-04-09,2,1882,0.0265,0.000582522673777427,1.26742712294043e-05,-9.6997539903221,6075300
"33","GBR","United Kingdom","Midlands",2020-04-09,2,1000,0.08,0.00120051255336814,0.000142754020401613,-10.0351529090652,NA
"34","USA","United States","San Francisco Bay Area",2020-04-11,3,1224,0.0097,0.000700132426966025,1.95329011882413e-05,-9.6997539903221,6553046
"35","GBR","United Kingdom","South East",2020-04-12,2,1000,0.048,0.001151,0.000181377592942427,-10.0351529090652,9183318.85317115
"36","USA","United States","Utah",2020-04-12,2,1132,0.0218,0.000769220235134894,6.01214252385067e-06,-9.6997539903221,2993941
"37","CHE","Switzerland","Canton of Geneva",2020-04-16,2,604,0.066,0.00954592776487547,0.000422439336910387,-9.68978293017639,499480
"38","GBR","United Kingdom","London",2020-04-16,2,1000,0.175,0.002472,0.000236116416573879,-10.0351529090652,8962783.17152104
"39","NOR","Norway","Norway",2020-04-16,1,900,0.009,0.00127203323518854,2.8037855531998e-05,-9.55441720516644,5421242
"40","SWE","Sweden","Sweden",2020-04-16,1,1200,0.041,0.00129266768786259,0.000182092369052417,-9.85551565109967,10099270
"41","SWE","Sweden","Sweden",2020-04-16,1,400,0.026,0.00129266768786259,0.000182092369052417,-9.85551565109967,10099270
