"","sero_id","iso3c","geo_id","country","region","geo_level","date completed","date","sample.size","result.pct","continent"
"102",249,"ESP","ESP_GI","Spain","Girona",2,2020-06-22,2020-06-15,1065,2.7,"Europe"
"103",247,"ESP","ESP_GR","Spain","Granada",2,2020-06-22,2020-06-15,1050,3.5,"Europe"
"104",269,"ESP","ESP_GU","Spain","Guadalajara",2,2020-06-22,2020-06-15,844,9.8,"Europe"
"105",260,"ESP","ESP_H","Spain","Huelva",2,2020-06-22,2020-06-15,962,1.2,"Europe"
"106",273,"ESP","ESP_HU","Spain","Huesca",2,2020-06-22,2020-06-15,678,5,"Europe"
"107",250,"ESP","ESP_J","Spain","Jaén",2,2020-06-22,2020-06-15,1022,4.4,"Europe"
"108",240,"ESP","ESP_LE","Spain","León",2,2020-06-22,2020-06-15,934,6.4,"Europe"
"109",263,"ESP","ESP_L","Spain","Lleida",2,2020-06-22,2020-06-15,815,2.9,"Europe"
"110",262,"ESP","ESP_LU","Spain","Lugo",2,2020-06-22,2020-06-15,766,1.5,"Europe"
"111",275,"ESP","ESP_M","Spain","Madrid",2,2020-06-22,2020-06-15,3732,11.7,"Europe"
"112",252,"ESP","ESP_MA","Spain","Málaga",2,2020-06-22,2020-06-15,1343,3.6,"Europe"
"113",251,"ESP","ESP_ML","Spain","Melilla",2,2020-06-22,2020-06-15,907,3.4,"Europe"
"114",241,"ESP","ESP_OR","Spain","Ourense",2,2020-06-22,2020-06-15,748,2.5,"Europe"
"115",276,"ESP","ESP_P","Spain","Palencia",2,2020-06-22,2020-06-15,783,6.6,"Europe"
"116",253,"ESP","ESP_GC","Spain","Palmas, Las",2,2020-06-22,2020-06-15,1400,2.2,"Europe"
"117",245,"ESP","ESP_PO","Spain","Pontevedra",2,2020-06-22,2020-06-15,1150,2.1,"Europe"
"118",264,"ESP","ESP_O","Spain","Principado, Asturias",2,2020-06-22,2020-06-15,1703,1.9,"Europe"
"119",239,"ESP","ESP_LO","Spain","Rioja, La",2,2020-06-22,2020-06-15,1356,3.7,"Europe"
"120",268,"ESP","ESP_SA","Spain","Salamanca",2,2020-06-22,2020-06-15,836,9.5,"Europe"
"121",232,"ESP","ESP_TF","Spain","Santa Cruz Tenerife",2,2020-06-22,2020-06-15,1193,2.4,"Europe"
"122",265,"ESP","ESP_SG","Spain","Segovia",2,2020-06-22,2020-06-15,705,12.4,"Europe"
"123",277,"ESP","ESP_SE","Spain","Sevilla",2,2020-06-22,2020-06-15,1697,2.7,"Europe"
"124",254,"ESP","ESP_SO","Spain","Soria",2,2020-06-22,2020-06-15,713,14.4,"Europe"
"125",231,"ESP","ESP","Spain","Spain",1,2020-06-22,2020-06-15,62167,5.2,"Europe"
"126",244,"ESP","ESP_T","Spain","Tarragona",2,2020-06-22,2020-06-15,946,1.5,"Europe"
"127",267,"ESP","ESP_TE","Spain","Teruel",2,2020-06-22,2020-06-15,647,4.9,"Europe"
"128",243,"ESP","ESP_TO","Spain","Toledo",2,2020-06-22,2020-06-15,1099,8.6,"Europe"
"129",266,"ESP","ESP_V","Spain","Valencia/València",2,2020-06-22,2020-06-15,1987,2,"Europe"
"130",278,"ESP","ESP_VA","Spain","Valladolid",2,2020-06-22,2020-06-15,1060,7.4,"Europe"
"131",238,"ESP","ESP_ZA","Spain","Zamora",2,2020-06-22,2020-06-15,678,7.3,"Europe"
"132",261,"ESP","ESP_Z","Spain","Zaragoza",2,2020-06-22,2020-06-15,1289,4.7,"Europe"
"133",179,"ESP","ESP_AB","Spain","Albacete",2,2020-06-01,2020-05-25,1098,11.5,"Europe"
"134",180,"ESP","ESP_A","Spain","Alicante/Alacant",2,2020-06-01,2020-05-25,1671,3.3,"Europe"
"135",183,"ESP","ESP_AL","Spain","Almería",2,2020-06-01,2020-05-25,946,2.5,"Europe"
"136",178,"ESP","ESP_VI","Spain","Araba/Álava",2,2020-06-01,2020-05-25,727,6.2,"Europe"
"137",206,"ESP","ESP_AV","Spain","Ávila",2,2020-06-01,2020-05-25,677,8.3,"Europe"
"138",182,"ESP","ESP_BA","Spain","Badajoz",2,2020-06-01,2020-05-25,1599,2.9,"Europe"
"139",205,"ESP","ESP_PM","Spain","Balears, Illes",2,2020-06-01,2020-05-25,1344,1.5,"Europe"
"140",219,"ESP","ESP_B","Spain","Barcelona",2,2020-06-01,2020-05-25,3793,7.4,"Europe"
"141",204,"ESP","ESP_BI","Spain","Bizkaia",2,2020-06-01,2020-05-25,1247,3.8,"Europe"
"142",184,"ESP","ESP_BU","Spain","Burgos",2,2020-06-01,2020-05-25,922,5.3,"Europe"
"143",207,"ESP","ESP_CC","Spain","Cáceres",2,2020-06-01,2020-05-25,1191,3.9,"Europe"
"144",220,"ESP","ESP_CA","Spain","Cádiz",2,2020-06-01,2020-05-25,1382,2.4,"Europe"
"145",191,"ESP","ESP_S","Spain","Cantabria",2,2020-06-01,2020-05-25,1661,3.2,"Europe"
"146",197,"ESP","ESP_CS","Spain","Castellón/Castelló",2,2020-06-01,2020-05-25,865,3.8,"Europe"
"147",223,"ESP","ESP_CE","Spain","Ceuta",2,2020-06-01,2020-05-25,904,0.5,"Europe"
"148",195,"ESP","ESP_CR","Spain","Ciudad Real",2,2020-06-01,2020-05-25,1175,9.7,"Europe"
"149",185,"ESP","ESP_CO","Spain","Córdoba",2,2020-06-01,2020-05-25,1112,2.5,"Europe"
"150",208,"ESP","ESP_C","Spain","Coruña, A",2,2020-06-01,2020-05-25,1243,2.2,"Europe"
"151",221,"ESP","ESP_CU","Spain","Cuenca",2,2020-06-01,2020-05-25,835,14.8,"Europe"
"152",186,"ESP","ESP_SS","Spain","Gipuzkoa",2,2020-06-01,2020-05-25,1020,2.6,"Europe"
"153",198,"ESP","ESP_GI","Spain","Girona",2,2020-06-01,2020-05-25,991,3.1,"Europe"
"154",196,"ESP","ESP_GR","Spain","Granada",2,2020-06-01,2020-05-25,1090,3.3,"Europe"
"155",218,"ESP","ESP_GU","Spain","Guadalajara",2,2020-06-01,2020-05-25,867,10.6,"Europe"
"156",209,"ESP","ESP_H","Spain","Huelva",2,2020-06-01,2020-05-25,1006,1.2,"Europe"
"157",222,"ESP","ESP_HU","Spain","Huesca",2,2020-06-01,2020-05-25,707,4.7,"Europe"
"158",199,"ESP","ESP_J","Spain","Jaén",2,2020-06-01,2020-05-25,1050,4.4,"Europe"
"159",189,"ESP","ESP_LE","Spain","León",2,2020-06-01,2020-05-25,935,5.7,"Europe"
"160",212,"ESP","ESP_L","Spain","Lleida",2,2020-06-01,2020-05-25,831,3.4,"Europe"
"161",211,"ESP","ESP_LU","Spain","Lugo",2,2020-06-01,2020-05-25,790,2.5,"Europe"
"162",224,"ESP","ESP_M","Spain","Madrid",2,2020-06-01,2020-05-25,3704,11.4,"Europe"
"163",201,"ESP","ESP_MA","Spain","Málaga",2,2020-06-01,2020-05-25,1453,3.5,"Europe"
"164",200,"ESP","ESP_ML","Spain","Melilla",2,2020-06-01,2020-05-25,926,3.2,"Europe"
"165",190,"ESP","ESP_OR","Spain","Ourense",2,2020-06-01,2020-05-25,750,2.2,"Europe"
"166",225,"ESP","ESP_P","Spain","Palencia",2,2020-06-01,2020-05-25,767,8.2,"Europe"
"167",202,"ESP","ESP_GC","Spain","Palmas, Las",2,2020-06-01,2020-05-25,1478,2.1,"Europe"
"168",194,"ESP","ESP_PO","Spain","Pontevedra",2,2020-06-01,2020-05-25,1216,2,"Europe"
"169",213,"ESP","ESP_O","Spain","Principado, Asturias",2,2020-06-01,2020-05-25,1712,1.6,"Europe"
"170",188,"ESP","ESP_LO","Spain","Rioja, La",2,2020-06-01,2020-05-25,1402,3.8,"Europe"
"171",217,"ESP","ESP_SA","Spain","Salamanca",2,2020-06-01,2020-05-25,858,8.3,"Europe"
"172",181,"ESP","ESP_TF","Spain","Santa Cruz Tenerife",2,2020-06-01,2020-05-25,1227,3.2,"Europe"
"173",214,"ESP","ESP_SG","Spain","Segovia",2,2020-06-01,2020-05-25,721,12.6,"Europe"
"174",226,"ESP","ESP_SE","Spain","Sevilla",2,2020-06-01,2020-05-25,1784,2.7,"Europe"
"175",203,"ESP","ESP_SO","Spain","Soria",2,2020-06-01,2020-05-25,720,14.6,"Europe"
"176",180,"ESP","ESP","Spain","Spain",1,2020-06-01,2020-05-25,63666,5.2,"Europe"
"177",193,"ESP","ESP_T","Spain","Tarragona",2,2020-06-01,2020-05-25,992,1.6,"Europe"
"178",216,"ESP","ESP_TE","Spain","Teruel",2,2020-06-01,2020-05-25,671,3.5,"Europe"
"179",192,"ESP","ESP_TO","Spain","Toledo",2,2020-06-01,2020-05-25,1198,8.8,"Europe"
"180",215,"ESP","ESP_V","Spain","Valencia/València",2,2020-06-01,2020-05-25,2007,2.1,"Europe"
"181",227,"ESP","ESP_VA","Spain","Valladolid",2,2020-06-01,2020-05-25,1082,7.2,"Europe"
"182",187,"ESP","ESP_ZA","Spain","Zamora",2,2020-06-01,2020-05-25,662,6.2,"Europe"
"183",210,"ESP","ESP_Z","Spain","Zaragoza",2,2020-06-01,2020-05-25,1299,5.2,"Europe"
"184",128,"ESP","ESP_AB","Spain","Albacete",2,2020-05-11,2020-05-04,1058,11.7,"Europe"
"185",129,"ESP","ESP_A","Spain","Alicante/Alacant",2,2020-05-11,2020-05-04,1573,2.6,"Europe"
