"","sero_id","iso3c","geo_id","country","region","geo_level","date completed","date","sample.size","result.pct","continent"
"254",39,"CHE","CH013","Switzerland","Canton of Geneva",2,2020-05-10,2020-05-07,775,10.8,"Europe"
"255",38,"CHE","CH013","Switzerland","Canton of Geneva",2,2020-05-03,2020-04-30,604,6.6,"Europe"
"256",37,"CHE","CH013","Switzerland","Canton of Geneva",2,2020-04-26,2020-04-23,577,10.9,"Europe"
"257",36,"CHE","CH013","Switzerland","Canton of Geneva",2,2020-04-19,2020-04-16,469,8.5,"Europe"
"258",35,"CHE","CH013","Switzerland","Canton of Geneva",2,2020-04-12,2020-04-09,341,4.8,"Europe"
"259",118,"GBR","E12000004","United Kingdom","East Midlands",2,2020-08-27,2020-06-27,701,3.9,"Europe"
"260",120,"GBR","E12000006","United Kingdom","East of England",2,2020-08-27,2020-06-27,918,6.4,"Europe"
"261",114,"GBR","E92000001","United Kingdom","England",2,2020-08-27,2020-06-27,7093,6.02,"Europe"
"262",121,"GBR","E12000007","United Kingdom","London",2,2020-08-27,2020-06-27,540,11,"Europe"
"263",115,"GBR","E12000001","United Kingdom","North East",2,2020-08-27,2020-06-27,226,4.9,"Europe"
"264",116,"GBR","E12000002","United Kingdom","North West",2,2020-08-27,2020-06-27,886,4.8,"Europe"
"265",122,"GBR","E12000008","United Kingdom","South East",2,2020-08-27,2020-06-27,1232,4.7,"Europe"
"266",123,"GBR","E12000009","United Kingdom","South West",2,2020-08-27,2020-06-27,1165,3.5,"Europe"
"267",119,"GBR","E12000005","United Kingdom","West Midlands",2,2020-08-27,2020-06-27,684,6.8,"Europe"
"268",117,"GBR","E12000003","United Kingdom","Yorkshire and the Humber",2,2020-08-27,2020-06-27,741,5.2,"Europe"
"269",16,"GBR","E12000004","United Kingdom","East Midlands",2,2020-08-23,2020-06-25,701,3.9,"Europe"
"270",18,"GBR","E12000006","United Kingdom","East of England",2,2020-08-23,2020-06-25,918,6.4,"Europe"
"271",12,"GBR","E92000001","United Kingdom","England",2,2020-08-23,2020-06-25,7093,6.02,"Europe"
"272",19,"GBR","E12000007","United Kingdom","London",2,2020-08-23,2020-06-25,540,11,"Europe"
"273",13,"GBR","E12000001","United Kingdom","North East",2,2020-08-23,2020-06-25,226,4.9,"Europe"
"274",14,"GBR","E12000002","United Kingdom","North West",2,2020-08-23,2020-06-25,886,4.8,"Europe"
"275",20,"GBR","E12000008","United Kingdom","South East",2,2020-08-23,2020-06-25,1232,4.7,"Europe"
"276",21,"GBR","E12000009","United Kingdom","South West",2,2020-08-23,2020-06-25,1165,3.5,"Europe"
"277",17,"GBR","E12000005","United Kingdom","West Midlands",2,2020-08-23,2020-06-25,684,6.8,"Europe"
"278",15,"GBR","E12000003","United Kingdom","Yorkshire and the Humber",2,2020-08-23,2020-06-25,741,5.2,"Europe"
"279",113,"GBR","E92000001","United Kingdom","England",2,2020-08-09,2020-06-17,5248,6.24,"Europe"
"280",112,"GBR","E92000001","United Kingdom","England",2,2020-07-26,2020-06-11,4840,6.21,"Europe"
"281",124,"GBR","E92000001","United Kingdom","England",2,2020-07-08,2020-06-01,4309,6.29,"Europe"
"282",125,"GBR","E92000001","United Kingdom","England",2,2020-06-27,2020-05-27,3298,6.3,"Europe"
"283",126,"GBR","E92000001","United Kingdom","England",2,2020-06-08,2020-05-18,1757,5.4,"Europe"
"284",11,"GBR","E12000006","United Kingdom","East of England",2,2020-05-10,2020-05-07,1000,10,"Europe"
"285",8,"GBR","E12000002","United Kingdom","North West",2,2020-05-10,2020-05-07,1000,12.4,"Europe"
"286",3,"GBR","E12000007","United Kingdom","London",2,2020-05-03,2020-04-30,1000,17.5,"Europe"
"287",10,"GBR","E12000008","United Kingdom","South East",2,2020-05-03,2020-04-26,1000,4.8,"Europe"
"288",5,"GBR",NA,"United Kingdom","Midlands",2,2020-04-26,2020-04-23,1000,8,"Europe"
"289",7,"GBR","E12000002","United Kingdom","North West",2,2020-04-26,2020-04-20,1000,6.4,"Europe"
"290",9,"GBR","E12000009","United Kingdom","South West",2,2020-04-26,2020-04-23,1000,4.9,"Europe"
"291",2,"GBR","E12000007","United Kingdom","London",2,2020-04-19,2020-04-12,1000,12.3,"Europe"
"292",6,"GBR","E12000001","United Kingdom","North East",2,2020-04-19,2020-04-16,1000,4.2,"Europe"
"293",4,"GBR",NA,"United Kingdom","Midlands",2,2020-04-05,2020-04-02,1000,1.5,"Europe"
"294",1,"GBR","E12000007","United Kingdom","London",2,2020-03-29,2020-03-26,1000,1.5,"Europe"
"295",64,"USA","USA_MIN1","United States","Minnesota",3,2020-06-27,2020-06-21,1667,4.34,"Americas"
"296",63,"USA","USA_UT","United States","Utah",2,2020-06-24,2020-06-19,1976,1.52,"Americas"
"297",62,"USA","USA_NYC2","United States","New York City Metro Area",3,2020-06-21,2020-06-18,1581,19.47,"Americas"
"298",59,"USA","USA_MO","United States","Missouri",2,2020-06-20,2020-06-17,1850,0.84,"Americas"
"299",60,"USA","USA_PHI2","United States","Philadelphia Metro Area",3,2020-06-20,2020-06-17,1694,3.78,"Americas"
"300",61,"USA","USA_SEA2","United States","Western Washington Region",3,2020-06-20,2020-06-17,1803,1.69,"Americas"
"301",58,"USA","USA_CT","United States","Connecticut",2,2020-06-17,2020-06-16,1798,6.27,"Americas"
"302",57,"USA","USA_MIN1","United States","Minnesota",3,2020-06-07,2020-06-01,1323,2.18,"Americas"
"303",56,"USA","USA_UT","United States","Utah",2,2020-06-05,2020-05-30,1940,1.14,"Americas"
"304",54,"USA","USA_MO","United States","Missouri",2,2020-05-30,2020-05-28,1831,2.8,"Americas"
